Overview	نمای کلی	عمومي کتنه	نظرة عامة
Pages using this file may display a missing image. This cannot be undone.	صفحه‌های استفاده‌کننده ممکن است تصویر را از دست بدهند. این کار برگشت‌پذیر نیست.	دا دوتنه کاروونکې پاڼې ښايي انځور له لاسه ورکړي. دا کار بېرته نه ګرځي.	قد تفقد الصفحات التي تستخدم الملف صورتها. لا يمكن التراجع.
Page published. The website must also be published to make it public.	صفحه منتشر شد. وب‌سایت نیز باید منتشرشده باشد.	پاڼه خپره شوه. وېبپاڼه هم باید خپره وي.	نُشرت الصفحة. يجب نشر الموقع أيضاً لإتاحتها.
Password changed. Other Laravel sessions have been revoked.	رمز تغییر کرد. نشست‌های دیگر لاراول لغو شدند.	پټنوم بدل شو. نورې لاراول ناستې لغوه شوې.	تغيرت كلمة المرور وأُلغيت جلسات لارافيل الأخرى.
Preset saved. Load it to preview, then Save appearance to activate.	ظاهر ذخیره شد. برای پیش‌نمایش بارگذاری و برای فعال‌سازی ظاهر را ذخیره کنید.	بڼه خوندي شوه. د مخکتنې لپاره یې پورته او د فعالولو لپاره خوندي کړئ.	حُفظ الإعداد. حمّله للمعاينة ثم احفظ المظهر لتفعيله.
Recover an older working copy?	نسخه کاری قدیمی بازیابی شود؟	پخوانۍ کاري کاپي راوګرځول شي؟	استعادة نسخة عمل أقدم؟
Reload the latest page?	آخرین نسخه صفحه بارگذاری شود؟	د پاڼې وروستۍ نسخه پورته شي؟	إعادة تحميل أحدث صفحة؟
Export your local copy first if you want to keep it. Unsaved local changes will be replaced.	برای نگه‌داشتن نسخه محلی، نخست برون‌بری کنید. تغییرات ذخیره‌نشده جایگزین می‌شوند.	د محلي کاپي د ساتلو لپاره لومړی صادرول وکړئ. ناخوندي بدلونونه بدلېږي.	صدّر نسختك المحلية أولاً للاحتفاظ بها. ستُستبدل التغييرات غير المحفوظة.
Restore this revision as a draft?	این نسخه به‌صورت پیش‌نویس بازیابی شود؟	دا نسخه د مسودې په توګه راشي؟	استعادة هذه النسخة كمسودة؟
Revision restored as draft.	نسخه به‌صورت پیش‌نویس بازیابی شد.	نسخه د مسودې په توګه راوګرځول شوه.	استُعيدت النسخة كمسودة.
Reuse this page across this website.	این صفحه را در این وب‌سایت دوباره استفاده کنید.	دا پاڼه په دې وېبپاڼه کې بیا وکاروئ.	أعد استخدام هذه الصفحة في الموقع.
Roles can only be deleted after every account and membership has been reassigned.	نقش فقط پس از تغییر نقش همه حساب‌ها و عضویت‌ها حذف می‌شود.	رول یوازې د ټولو حسابونو او غړیتوبونو تر بیاټاکلو وروسته ړنګېږي.	لا يُحذف الدور إلا بعد إعادة تعيين جميع الحسابات والعضويات.
Scheduled. Keep the Laravel scheduler running to publish on time.	زمان‌بندی شد. زمان‌بند لاراول باید برای انتشار به‌موقع فعال باشد.	مهالویش شو. د پر وخت خپرولو لپاره د لاراول مهالویش فعال وساتئ.	تمت الجدولة. أبقِ مجدول لارافيل يعمل للنشر في الموعد.
The active website appearance will not change.	ظاهر فعال وب‌سایت تغییر نمی‌کند.	د وېبپاڼې فعاله بڼه نه بدلېږي.	لن يتغير مظهر الموقع النشط.
The saved page has changed since then.	صفحه ذخیره‌شده از آن زمان تغییر کرده است.	خوندي پاڼه له هغه وخته بدله شوې ده.	تغيرت الصفحة المحفوظة منذ ذلك الوقت.
The saved page has changed since this copy was made. Review all differences before publishing. Recovery will not change the live website.	صفحه پس از ساخت این نسخه تغییر کرده است. پیش از انتشار تفاوت‌ها را بررسی کنید. بازیابی وب‌سایت زنده را تغییر نمی‌دهد.	پاڼه د دې کاپي له جوړېدو وروسته بدله شوې. له خپرولو مخکې توپیرونه وګورئ. بیا راوستل ژوندۍ وېبپاڼه نه بدلوي.	تغيرت الصفحة بعد إنشاء النسخة. راجع الفروق قبل النشر. الاستعادة لا تغير الموقع المنشور.
Their account and memberships on other websites will remain unchanged.	حساب و عضویت‌های آنان در وب‌سایت‌های دیگر تغییر نمی‌کند.	د هغوی حساب او په نورو وېبپاڼو کې غړیتوب نه بدلېږي.	لن يتغير حسابهم أو عضوياتهم في المواقع الأخرى.
This permanently deletes the page and its revision history.	صفحه و تاریخچه نسخه‌های آن برای همیشه حذف می‌شود.	پاڼه او د هغې د نسخو تاریخچه د تل لپاره ړنګېږي.	سيُحذف نهائياً كل من الصفحة وسجل نسخها.
This saves your current preview without changing the live website.	پیش‌نمایش فعلی بدون تغییر وب‌سایت زنده ذخیره می‌شود.	اوسنۍ مخکتنه د ژوندۍ وېبپاڼې له بدلولو پرته خوندي کېږي.	تُحفظ المعاينة الحالية دون تغيير الموقع المنشور.
This unpublishes the page. Your previous saved version remains in history. Unsaved local edits will be replaced.	صفحه از انتشار خارج می‌شود. نسخه قبلی در تاریخچه می‌ماند. ویرایش‌های ذخیره‌نشده جایگزین می‌شوند.	پاڼه له خپرېدو وځي. پخوانۍ نسخه په تاریخچه کې پاتې کېږي. ناخوندي سمونونه بدلېږي.	سيُلغى نشر الصفحة. تبقى النسخة السابقة في السجل وتُستبدل التعديلات غير المحفوظة.
Unsaved color and layout changes will be replaced with the selected theme defaults.	تغییرات ذخیره‌نشده رنگ و چیدمان با پیش‌فرض پوسته جایگزین می‌شوند.	د رنګ او جوړښت ناخوندي بدلونونه د پوښ په اصلي امستنو بدلېږي.	تُستبدل تغييرات الألوان والتخطيط غير المحفوظة بافتراضيات القالب.
Your new look is live across the website.	ظاهر جدید در سراسر وب‌سایت فعال شد.	نوې بڼه په ټوله وېبپاڼه کې فعاله شوه.	مظهرك الجديد مطبق في جميع أنحاء الموقع.
Your working copy is already saved.	نسخه کاری شما قبلاً ذخیره شده است.	ستاسو کاري کاپي مخکې خوندي شوې ده.	نسخة العمل محفوظة بالفعل.
. This workspace uses a local development adapter. Production setup and implementation limitations are documented in README.md.	. این فضا از سرور توسعه محلی استفاده می‌کند. راه‌اندازی و محدودیت‌ها در README.md آمده است.	. دا ځای محلي پرمختیايي سرور کاروي. لارښوونې او محدودیتونه په README.md کې دي.	. تستخدم هذه المساحة خادم تطوير محلياً. الإعداد والقيود موثقة في README.md.
English	انگلیسی	انګلیسي	الإنجليزية
Dari / فارسی	دری / فارسی	دري / فارسي	الدارية / الفارسية
Pashto / پښتو	پشتو	پښتو	البشتوية
Arabic / العربية	عربی	عربي	العربية
All images	همه تصاویر	ټول انځورونه	كل الصور
Images	تصاویر	انځورونه	الصور
Videos	ویدیوها	ویډیوګانې	الفيديوهات
Documents	اسناد	اسناد	المستندات
Newest first	جدیدترین نخست	لومړی نوي	الأحدث أولاً
Oldest first	قدیمی‌ترین نخست	لومړی زاړه	الأقدم أولاً
Name A–Z	نام به ترتیب الفبا	نوم د الفبا په ترتیب	الاسم أبجدياً
Largest first	بزرگ‌ترین نخست	لومړی لوی	الأكبر أولاً
Saved	ذخیره‌شده	خوندي شوی	محفوظ
No results	نتیجه‌ای نیست	پایله نشته	لا نتائج
OK	تأیید	سمه ده	موافق
Your story, one beautiful page at a time.	داستان شما، صفحه به صفحه.	ستاسو کیسه، پاڼه په پاڼه.	قصتك صفحة تلو الأخرى.
One visual identity. Every page, beautifully connected.	هویت دیداری هماهنگ در همه صفحه‌ها.	په ټولو پاڼو کې یو شان لیدیز هویت.	هوية بصرية متناسقة في جميع الصفحات.
A home for your photos, files, and everyday inspiration.	خانه‌ای برای تصاویر، فایل‌ها و ایده‌های شما.	ستاسو د انځورونو، دوتنو او فکرونو کور.	موطن لصورك وملفاتك وأفكارك.
Good ideas are worth using again.	ایده‌های خوب ارزش استفاده دوباره دارند.	ښه فکرونه د بیا کارولو وړ دي.	الأفكار الجيدة تستحق إعادة الاستخدام.
Different languages. The same thoughtful experience.	زبان‌های متفاوت، تجربه‌ای هماهنگ.	بېلابېلې ژبې، یو شان تجربه.	لغات مختلفة وتجربة متناسقة.
A local experience for a global audience.	تجربه محلی برای مخاطبان جهانی.	د نړیوالو لیدونکو لپاره محلي تجربه.	تجربة محلية لجمهور عالمي.
Help your visitors find their way.	به بازدیدکنندگان در یافتن مسیر کمک کنید.	له لیدونکو سره د لارې په موندلو کې مرسته وکړئ.	ساعد زوارك على الوصول.
All the little details that make this website yours.	تمام جزئیاتی که وب‌سایت را متعلق به شما می‌سازند.	هغه ټول جزیات چې وېبپاڼه ستاسو کوي.	كل التفاصيل التي تجعل الموقع خاصاً بك.
Your header, footer, announcement and call to action. Shared everywhere.	سرصفحه، پاصفحه، اطلاعیه و دعوت به اقدام؛ مشترک در همه جا.	سرلیک، لاندې برخه، خبرتیا او بلنه؛ په هر ځای کې ګډ.	الترويسة والتذييل والإعلان والدعوة؛ مشتركة في كل مكان.
The right people, with the right permissions.	افراد مناسب با دسترسی مناسب.	سم کسان له سمو اجازو سره.	الأشخاص المناسبون بالصلاحيات المناسبة.
A clear picture of what’s happening in your workspace.	نمای روشن از فعالیت‌های فضای کاری.	په کاري ځای کې د فعالیتونو روښانه انځور.	صورة واضحة لنشاط مساحة عملك.
Unable to complete this request.	تکمیل درخواست ممکن نشد.	غوښتنه بشپړه نه شوه.	تعذر إكمال الطلب.
Unable to establish a secure session.	ایجاد نشست امن ممکن نشد.	خوندي ناسته جوړه نه شوه.	تعذر إنشاء جلسة آمنة.
Please sign in to continue.	برای ادامه وارد شوید.	د دوام لپاره ننوځئ.	سجّل الدخول للمتابعة.
You do not have permission to perform this action.	اجازه انجام این کار را ندارید.	تاسو د دې کار اجازه نه لرئ.	ليست لديك صلاحية لهذا الإجراء.
Too many requests. Try again later.	درخواست‌ها زیاد است. بعداً تلاش کنید.	غوښتنې ډېرې دي. وروسته هڅه وکړئ.	طلبات كثيرة. حاول لاحقاً.
The server returned an unexpected response. Check the backend connection.	پاسخ سرور نامنتظره بود. اتصال سرور را بررسی کنید.	د سرور ځواب ناڅاپي و. د سرور اړیکه وګورئ.	استجابة غير متوقعة. تحقق من اتصال الخادم.
Check the form fields and try again.	فیلدهای فرم را بررسی و دوباره تلاش کنید.	د فورم ډګرونه وګورئ او بیا هڅه وکړئ.	تحقق من حقول النموذج وحاول مجدداً.
This record changed. Reload before saving.	رکورد تغییر کرده است. پیش از ذخیره دوباره بارگذاری کنید.	ثبت بدل شوی دی. له خوندي کولو مخکې یې بیا پورته کړئ.	تغير السجل. أعد تحميله قبل الحفظ.
Product changed. Reload before saving.	محصول تغییر کرده است. پیش از ذخیره دوباره بارگذاری کنید.	محصول بدل شوی دی. له خوندي کولو مخکې یې بیا پورته کړئ.	تغير المنتج. أعد تحميله قبل الحفظ.
Order changed. Reload before saving.	سفارش تغییر کرده است. پیش از ذخیره دوباره بارگذاری کنید.	سپارښتنه بدله شوې ده. له خوندي کولو مخکې یې بیا پورته کړئ.	تغير الطلب. أعد تحميله قبل الحفظ.
A product is unavailable.	یک محصول در دسترس نیست.	یو محصول نشته.	أحد المنتجات غير متاح.
Checkout key already used for different details.	شناسه سفارش برای جزئیات دیگری استفاده شده است.	د سپارښتنې کیلي د نورو جزیاتو لپاره کارول شوې ده.	استُخدم مفتاح الطلب لتفاصيل مختلفة.
Invalid order transition.	تغییر وضعیت سفارش مجاز نیست.	د سپارښتنې حالت داسې نه شي بدلېدای.	تغيير حالة الطلب غير مسموح.
Paid orders require manual refund reconciliation before cancellation.	پیش از لغو سفارش پرداخت‌شده، بازپرداخت باید دستی تسویه شود.	د ورکړل شوې سپارښتنې له لغوه کولو مخکې بېرته ورکړه باید په لاس حساب شي.	الطلبات المدفوعة تتطلب تسوية استرداد يدوية قبل الإلغاء.
Refunds require an external reconciliation workflow.	بازپرداخت به تسویه خارج از این سیستم نیاز دارد.	بېرته ورکړه له دې سیسټم څخه بهر حساب غواړي.	الاسترداد يتطلب تسوية خارج النظام.
This link is invalid or expired. Request a new email.	پیوند نامعتبر یا منقضی است. ایمیل تازه بخواهید.	تړونی ناسم یا زوړ دی. نوی برېښنالیک وغواړئ.	الرابط غير صالح أو منتهي. اطلب رسالة جديدة.
Email could not be sent. Please try again later.	ایمیل ارسال نشد. بعداً تلاش کنید.	برېښنالیک ونه لېږل شو. وروسته هڅه وکړئ.	تعذر إرسال البريد. حاول لاحقاً.
Insufficient stock for {name}	موجودی کافی برای {name} نیست	د {name} لپاره کافي زېرمه نشته	المخزون غير كافٍ للمنتج {name}
Delete “{name}”?	«{name}» حذف شود؟	«{name}» ړنګ شي؟	حذف «{name}»؟
All folders	همه پوشه‌ها	ټولې پوښۍ	كل المجلدات
All types	همه نوع‌ها	ټول ډولونه	كل الأنواع
Learn more	بیشتر بدانید	نور معلومات	اعرف المزيد
New link	پیوند جدید	نوی تړونی	رابط جديد
Top level	سطح اصلی	اصلي کچه	المستوى الأعلى
Unfiled	بدون پوشه	بې پوښۍ	غير مصنف
العربية	العربية	العربية	العربية
دری	دری	دری	دری
پښتو	پښتو	پښتو	پښتو
Dari / Farsi	دری / فارسی	دري / فارسي	الدارية / الفارسية
Pashto	پشتو	پښتو	البشتوية
Arabic	عربی	عربي	العربية
Light	روشن	روښانه	فاتح
Dark	تیره	تیاره	داكن
System	سیستم	سیستم	النظام
Loading working copy…	در حال بارگذاری نسخه کاری…	کاري کاپي پورته کېږي…	جارٍ تحميل نسخة العمل…
Conflict · your local changes are preserved	تداخل · تغییرات محلی شما حفظ شده‌اند	ټکر · ستاسو محلي بدلونونه ساتل شوي	تعارض · تغييراتك المحلية محفوظة
Not saved · check your connection or page fields	ذخیره نشد · اتصال یا فیلدهای صفحه را بررسی کنید	خوندي نه شو · اړیکه یا د پاڼې ډګرونه وګورئ	لم يُحفظ · تحقق من الاتصال أو حقول الصفحة
A saved working copy is available	نسخه کاری ذخیره‌شده موجود است	خوندي کاري کاپي شته	نسخة عمل محفوظة متاحة
Recovered locally · review before publishing	بازیابی محلی · پیش از انتشار بررسی کنید	محلي بېرته راوستل شو · له خپرولو مخکې یې وګورئ	استُعيد محلياً · راجع قبل النشر
Unsaved changes · autosave pending	تغییرات ذخیره‌نشده · در انتظار ذخیره خودکار	ناخوندي بدلونونه · اتومات خوندي کولو ته په تمه	تغييرات غير محفوظة · بانتظار الحفظ التلقائي
Saving working copy…	در حال ذخیره نسخه کاری…	کاري کاپي خوندي کېږي…	جارٍ حفظ نسخة العمل…
Working copy saved · live page unchanged	نسخه کاری ذخیره شد · صفحه زنده تغییر نکرد	کاري کاپي خوندي شوه · ژوندۍ پاڼه نه ده بدله	حُفظت نسخة العمل · الصفحة المنشورة لم تتغير
Publication scheduled	انتشار زمان‌بندی شد	خپرول مهالویش شول	تمت جدولة النشر
Published successfully	با موفقیت منتشر شد	په بریالیتوب خپور شو	نُشر بنجاح
Add a description to help people discover this page.	برای کمک به یافتن صفحه توضیحی بنویسید.	د پاڼې موندلو لپاره تشریح ولیکئ.	أضف وصفاً يساعد على اكتشاف الصفحة.
Your work, saved.	کار شما ذخیره شد.	ستاسو کار خوندي شو.	تم حفظ عملك.
Select this layout, then add a block	این چیدمان را انتخاب و سپس بلوک اضافه کنید	دا جوړښت وټاکئ، بیا بلاک زیات کړئ	حدد هذا التخطيط ثم أضف كتلة
Add a direct MP4 or WEBM video URL.	نشانی مستقیم ویدیوی MP4 یا WEBM را اضافه کنید.	د MP4 یا WEBM ویډیو مستقیمه پته زیاته کړئ.	أضف رابط فيديو مباشر بصيغة MP4 أو WEBM.
Cannot reach the CMS API. Start the backend on port 8000, then reload this page.	به API سیستم مدیریت محتوا دسترسی نیست. سرور را روی پورت ۸۰۰۰ اجرا کنید و این صفحه را دوباره بار کنید.	د CMS API سره اړیکه نه شي ټینګېدای. سرور په ۸۰۰۰ پورټ باندې پیل کړئ او دا پاڼه بیا بار کړئ.	تعذر الوصول إلى واجهة API لنظام إدارة المحتوى. شغّل الخادم على المنفذ 8000 ثم أعد تحميل هذه الصفحة.
